iter	RMSE
0	9594.200672
1	9449.769186
2	9312.03653
3	9179.239559
4	9051.96613
5	8931.995225
6	8816.095772
7	8701.81851
8	8594.016619
9	8491.768609
10	8391.669508
11	8301.923282
12	8210.04476
13	8121.421475
14	8038.321793
15	7955.596023
16	7878.075967
17	7804.493567
18	7734.800038
19	7665.31819
20	7603.09859
21	7540.833174
22	7482.795558
23	7423.997492
24	7369.247724
25	7316.822584
26	7266.722953
27	7215.942013
28	7170.361994
29	7122.760972
30	7077.84996
31	7037.982752
32	6998.533306
33	6962.290964
34	6925.395405
35	6887.378795
36	6851.750453
37	6820.275204
38	6786.492861
39	6755.938909
40	6726.049946
41	6694.440882
42	6665.482666
43	6637.462143
44	6611.238012
45	6585.242431
46	6559.417766
47	6532.394291
48	6507.656405
49	6483.090298
50	6458.775073
51	6437.394126
52	6418.031908
53	6384.501539
54	6364.955966
55	6346.870743
56	6318.393336
57	6299.480349
58	6281.228753
59	6253.570766
60	6233.155739
61	6216.513015
62	6197.302756
63	6180.620422
64	6166.103158
65	6148.388639
66	6132.66132
67	6117.680211
68	6105.872581
69	6080.687514
70	6066.548106
71	6054.844084
72	6040.125808
73	6025.285255
74	6011.237329
75	5997.097091
76	5982.014584
77	5970.059919
78	5960.664829
79	5950.281607
80	5936.706491
81	5923.068501
82	5911.852412
83	5902.582743
84	5889.921628
85	5875.54064
86	5863.969566
87	5847.505199
88	5834.584945
89	5824.348837
90	5815.875012
91	5803.437253
92	5795.338864
93	5783.898024
94	5773.970584
95	5766.070892
96	5752.455677
97	5742.053005
98	5723.793053
99	5716.387106
100	5702.59618
101	5689.54024
102	5683.479262
103	5669.969454
104	5655.406598
105	5649.74116
106	5631.89312
107	5624.360673
108	5611.275805
109	5603.360116
110	5595.799248
111	5589.501851
112	5584.597849
113	5577.040453
114	5570.614916
115	5560.573937
116	5555.862843
117	5541.780356
118	5537.523166
119	5527.170778
120	5516.339683
121	5502.30842
122	5492.138759
123	5487.185549
124	5481.610106
125	5476.951735
126	5470.089867
127	5464.035401
128	5451.565667
129	5445.556636
130	5437.848593
131	5427.927944
132	5420.095411
133	5408.581408
134	5402.800661
135	5395.132522
136	5381.219593
137	5376.676114
138	5370.559976
139	5364.633435
140	5360.384082
141	5355.225628
142	5344.678731
143	5334.665272
144	5325.728704
145	5317.436851
146	5310.861499
147	5305.21684
148	5298.313198
149	5290.861651
150	5285.327716
151	5273.232421
152	5269.887298
153	5265.017463
154	5261.638986
155	5256.145319
156	5253.553223
157	5249.227372
158	5239.45369
159	5234.999811
160	5231.161359
161	5227.32384
162	5218.001187
163	5212.164807
164	5205.263188
165	5202.433114
166	5197.448349
167	5190.480682
168	5181.63751
169	5175.738816
170	5168.050341
171	5164.32629
172	5159.953226
173	5151.173881
174	5140.375487
175	5132.55162
176	5129.441691
177	5124.759971
178	5121.018458
179	5114.647397
180	5104.550686
181	5099.735094
182	5093.490112
183	5086.291906
184	5078.860673
185	5074.873586
