iter	Passed	Remaining
0	119	119644
1	260	130078
2	354	117679
3	438	109167
4	553	110187
5	653	108239
6	725	102944
7	815	101089
8	946	104179
9	1056	104623
10	1161	104408
11	1269	104488
12	1373	104306
13	1482	104434
14	1616	106180
15	1741	107129
16	1867	107997
17	1999	109107
18	2116	109268
19	2233	109461
20	2342	109202
21	2438	108413
22	2551	108395
23	2677	108867
24	2813	109735
25	2917	109294
26	3029	109162
27	3138	108955
28	3255	109003
29	3372	109034
30	3486	108978
31	3602	108972
32	3716	108919
33	3816	108427
34	3919	108059
35	4044	108293
36	4194	109169
37	4348	110094
38	4478	110343
39	4584	110034
40	4703	110021
41	4811	109753
42	4917	109452
43	5033	109356
44	5152	109339
45	5259	109085
46	5389	109287
47	5513	109352
48	5626	109197
49	5735	108973
50	5827	108430
51	5946	108408
52	6067	108420
53	6183	108327
54	6297	108206
55	6426	108330
56	6546	108311
57	6660	108181
58	6769	107970
59	6889	107932
60	7011	107928
61	7109	107553
62	7219	107379
63	7330	107205
64	7441	107047
65	7549	106830
66	7651	106550
67	7760	106362
68	7892	106492
69	8010	106431
70	8122	106277
71	8268	106573
72	8372	106323
73	8491	106254
74	8589	105934
75	8703	105817
76	8820	105729
77	8912	105353
78	9031	105294
79	9164	105395
80	9277	105262
81	9382	105035
82	9508	105049
83	9632	105036
84	9738	104831
85	9862	104814
86	9990	104841
87	10091	104587
88	10202	104435
89	10319	104337
90	10437	104261
91	10547	104099
92	10664	104011
93	10765	103758
94	10870	103551
95	10971	103317
96	11118	103505
97	11230	103367
98	11347	103272
99	11455	103097
100	11576	103041
101	11679	102822
102	11788	102660
103	11901	102534
104	12012	102392
105	12141	102401
106	12260	102323
107	12384	102282
108	12499	102178
109	12625	102155
110	12748	102102
111	12857	101941
112	12977	101865
113	13113	101918
114	13230	101814
115	13336	101631
116	13450	101513
117	13568	101415
118	13685	101315
119	13770	100982
120	13862	100700
121	13972	100553
122	14094	100493
123	14205	100358
124	14318	100230
125	14433	100118
126	14547	99996
127	14667	99922
128	14786	99840
129	14912	99802
130	15025	99674
131	15136	99535
132	15263	99496
133	15374	99363
134	15479	99180
135	15617	99214
136	15721	99034
137	15833	98903
138	15979	98982
139	16088	98828
140	16217	98802
141	16323	98632
142	16435	98498
143	16543	98339
144	16674	98324
145	16782	98166
146	16877	97935
147	16971	97701
148	17081	97562
149	17222	97592
150	17357	97592
151	17479	97515
152	17607	97473
153	17726	97379
154	17822	97159
155	17952	97124
156	18085	97108
157	18202	97001
158	18318	96891
159	18445	96838
160	18559	96715
161	18680	96629
162	18824	96661
163	18945	96576
164	19064	96479
165	19204	96483
166	19322	96379
167	19490	96522
168	19617	96461
169	19732	96339
170	19852	96243
171	19984	96204
172	20131	96237
173	20282	96283
174	20461	96460
175	20595	96424
176	20714	96318
177	20828	96184
178	20931	96004
179	21072	95999
180	21198	95920
181	21337	95903
182	21449	95762
183	21560	95617
184	21688	95546
185	21795	95386
186	21935	95366
187	22066	95309
188	22187	95205
189	22301	95076
190	22426	94989
191	22536	94842
192	22655	94729
193	22788	94677
194	22925	94640
195	23053	94565
196	23189	94522
197	23293	94351
198	23409	94227
199	23524	94099
200	23630	93932
201	23747	93815
202	23833	93574
203	23952	93461
204	24055	93286
205	24213	93328
206	24335	93225
207	24450	93099
208	24568	92983
209	24675	92828
210	24811	92780
211	24910	92590
212	25049	92552
213	25172	92455
214	25303	92387
215	25429	92298
216	25558	92223
217	25662	92057
218	25820	92082
219	25933	91944
220	26065	91877
221	26186	91770
222	26317	91698
223	26451	91636
224	26549	91449
225	26675	91356
226	26807	91286
227	26912	91124
228	27069	91139
229	27196	91050
230	27314	90930
231	27414	90752
232	27522	90600
233	27614	90395
234	27713	90216
235	27832	90102
236	27948	89978
237	28063	89849
238	28190	89760
239	28323	89689
240	28460	89631
241	28598	89577
242	28713	89447
243	28820	89297
244	28944	89195
245	29069	89098
246	29193	89000
247	29302	88853
248	29415	88719
249	29551	88653
250	29674	88551
251	29792	88431
252	29908	88307
253	30045	88244
254	30188	88198
255	30295	88047
256	30394	87871
257	30523	87784
258	30609	87574
259	30726	87451
260	30836	87310
261	30949	87179
262	31075	87081
